Open,High,Low,Close,Volume,Change,20d_MA
17320,17380,17020,17300,265758,0.002317497103128563,17545.0
17060,17160,16880,16960,239116,-0.01965317919075149,17500.0
17020,17040,16060,16380,723027,-0.034198113207547176,17439.0
16260,16280,15900,16000,472386,-0.023199023199023228,17357.0
16000,16400,15960,16280,378374,0.01750000000000007,17298.0
16480,16660,16440,16520,330821,0.014742014742014753,17259.0
16500,16780,16400,16620,277391,0.006053268765133124,17234.0
16420,17080,16420,17040,469223,0.025270758122743597,17207.0
16940,16940,16560,16700,304257,-0.0199530516431925,17151.0
16800,17060,16620,16640,239178,-0.003592814371257469,17099.0
16960,16980,16640,16660,207146,0.0012019230769231282,17030.0
16660,16700,16420,16520,328339,-0.008403361344537785,16945.0
16860,17200,16760,17100,442918,0.03510895883777243,16917.0
17400,17660,17380,17560,429433,0.026900584795321647,16910.0
17600,17980,17560,17980,422262,0.023917995444191265,16922.0
17860,17960,17740,17960,224722,-0.0011123470522803602,16943.0
17960,17960,17580,17600,358557,-0.020044543429844075,16958.0
17600,17760,17460,17700,241809,0.005681818181818121,16992.0
17600,17600,17240,17300,320019,-0.02259887005649719,17004.0
17200,17220,16920,17000,248144,-0.017341040462427793,16991.0
16960,17100,16720,16860,329357,-0.008235294117647007,16969.0
16700,16700,16460,16620,407918,-0.014234875444839812,16952.0
16600,16800,16420,16640,273509,0.001203369434416457,16965.0
16560,16600,16220,16260,364738,-0.022836538461538436,16978.0
16120,16540,16120,16440,291167,0.011070110701107083,16986.0
16800,17080,16780,17020,421882,0.035279805352798066,17011.0
16920,17020,16640,16840,206937,-0.010575793184488869,17022.0
17000,17120,16840,17000,244517,0.009501187648456089,17020.0
17000,17000,16680,16940,190025,-0.003529411764705892,17032.0
16860,17020,16800,17000,225408,0.0035419126328217754,17050.0
16960,16960,16720,16900,201993,-0.00588235294117645,17062.0
16560,16800,16520,16740,272890,-0.009467455621301801,17073.0
16920,17040,16740,16880,302016,0.008363201911588902,17062.0
17100,17500,17100,17400,389024,0.0308056872037914,17054.0
17060,17180,17000,17040,269816,-0.020689655172413834,17007.0
16800,16880,16480,16660,408465,-0.02230046948356812,16942.0
16780,16780,16300,16420,346496,-0.014405762304921965,16883.0
15840,16100,15780,15780,609081,-0.03897685749086477,16787.0
15400,15780,15200,15200,607518,-0.03675538656527255,16682.0
15000,15060,13920,14480,990040,-0.047368421052631615,16556.0
15200,15200,14400,14400,986557,-0.0055248618784530246,16433.0
13760,14500,13760,14160,794832,-0.01666666666666672,16310.0
14420,14440,14000,14140,677828,-0.0014124293785310327,16185.0
14700,15000,14520,15000,601622,0.06082036775106081,16122.0
15019,15200,14820,15040,293405,0.002666666666666595,16052.0
14960,14980,14059,14180,708503,-0.05718085106382975,15910.0
13760,13940,13440,13600,580713,-0.04090267983074758,15748.0
13680,14040,13660,13820,418952,0.016176470588235237,15589.0
14000,14700,13980,14460,492913,0.04630969609261948,15465.0
14479,14700,14000,14160,370403,-0.020746887966805017,15323.0
14740,14760,14420,14500,381135,0.024011299435028333,15203.0
14340,14680,14340,14520,212815,0.0013793103448276334,15092.0
14839,14839,14480,14660,260440,0.009641873278236845,14981.0
14820,14960,14720,14840,252964,0.012278308321964637,14853.0
14940,14940,14620,14880,290229,0.0026954177897573484,14745.0
15180,15760,14880,15420,717411,0.03629032258064524,14683.0
15299,15620,15260,15380,258682,-0.0025940337224383825,14631.0
15100,15120,14600,14620,277488,-0.04941482444733425,14573.0
14520,14720,14200,14540,264505,-0.005471956224350261,14540.0
14660,15560,14660,15460,351504,0.06327372764786787,14589.0
15600,16040,15560,15960,574914,0.03234152652005173,14667.0
15699,16239,15539,15600,361802,-0.022556390977443663,14739.0
15599,15619,14820,15060,551101,-0.0346153846153846,14785.0
15680,15680,15300,15420,426593,0.0239043824701195,14806.0
15880,16220,15839,15960,476632,0.035019455252918386,14852.0
16000,16280,15760,16160,246920,0.012531328320801949,14951.0
16220,16360,15920,16220,281014,0.003712871287128605,15082.0
16380,16560,16020,16260,341563,0.002466091245376001,15204.0
15920,16000,15560,15800,307008,-0.028290282902828978,15271.0
15280,15600,15020,15160,437123,-0.040506329113924044,15321.0
15200,15740,15180,15500,480907,0.02242744063324542,15371.0
16100,16100,15820,16080,331600,0.03741935483870962,15449.0
16480,16500,15820,16140,486551,0.003731343283582156,15523.0
16080,16960,16080,16740,553981,0.037174721189590976,15618.0
16600,16800,16220,16800,516023,0.0035842293906809264,15714.0
16100,16640,15919,16560,658616,-0.014285714285714235,15771.0
16480,17000,16340,16840,644036,0.01690821256038655,15844.0
17480,17580,16840,17100,600160,0.015439429928741033,15968.0
17300,17620,17000,17200,530423,0.005847953216374213,16101.0
17560,17700,17440,17480,345316,0.016279069767441756,16202.0
17700,17700,17380,17620,459031,0.008009153318077722,16285.0
17440,17980,17400,17960,432600,0.0192962542565267,16403.0
17960,17980,17620,17800,325563,-0.008908685968819552,16540.0
17420,17880,17420,17720,217319,-0.004494382022471877,16655.0
17800,17900,17620,17800,213700,0.004514672686230181,16747.0
17500,17860,17420,17660,277012,-0.00786516853932584,16822.0
17700,17720,17400,17720,214254,0.003397508493771184,16897.0
17720,18400,17660,18140,569192,0.023702031602708784,16991.0
18400,18500,18140,18340,466429,0.011025358324145529,17118.0
18260,18860,18220,18820,376214,0.026172300981461394,17301.0
18720,19020,18700,18900,365737,0.004250797024442088,17471.0
18659,18920,18540,18680,250360,-0.011640211640211673,17601.0
18580,18780,18380,18480,349475,-0.010706638115631661,17718.0
18559,18920,18540,18900,537992,0.022727272727272707,17826.0
18820,19400,18660,19360,476217,0.024338624338624326,17954.0
19360,19980,19240,19800,620094,0.022727272727272707,18116.0
19400,19560,19320,19420,569636,-0.019191919191919204,18245.0
19240,19420,19160,19340,328782,-0.004119464469618972,18357.0
19660,20100,19640,20100,535139,0.03929679420889354,18502.0
19920,20000,19720,19860,280586,-0.011940298507462699,18621.0
19720,19800,19300,19400,341584,-0.023162134944612278,18710.0
19400,19760,19320,19700,386372,0.015463917525773141,18797.0
19340,19460,18700,18700,624218,-0.050761421319796995,18842.0
18900,19680,18600,19660,486576,0.051336898395721864,18939.0
19760,20040,19740,19920,282989,0.01322482197355046,19045.0
19720,19999,19600,19920,234838,0.0,19158.0
19900,20060,19460,19500,339267,-0.02108433734939763,19247.0
19640,19840,19220,19600,259445,0.00512820512820511,19320.0
19420,19540,19240,19260,326670,-0.01734693877551019,19366.0
19020,19200,18840,19000,256942,-0.01349948078920038,19375.0
19000,19420,18860,19260,241829,0.013684210526315743,19393.0
18960,19200,18700,18700,307043,-0.029075804776739322,19394.0
18440,19060,18420,18860,273680,0.00855614973262031,19413.0
18580,19060,18580,18940,233962,0.0042417815482502785,19415.0
